"","x"
"1",0.0776494431129988
"2",1.0292740112884
"3",8.79029526811208
"4",-34.5925961679389
"5",-32.8531691894091
"6",-11.3164169892352
"7",-26.3792792521143
"8",-7.94764791120022
"9",-16.2589250587667
"10",-37.3064217171914
"11",-11.7486261678789
"12",-13.0035929193649
"13",2.19360612006822
"14",12.5706975235084
"15",16.6239916572702
"16",-6.20980457753075
"17",-17.2140817907
"18",6.67169158398805
"19",18.3523271103168
"20",-11.0809427376171
"21",-3.87700866737026
"22",-7.64766952086293
"23",4.13723393526923
"24",4.25574288245684
"25",-43.5616603765767
"26",-6.80494944660271
"27",-2.32290137502704
"28",-2.59664261458389
"29",-1.81614200816997
"30",14.0699225958738
"31",-12.9808123883908
"32",-6.48501778277212
"33",-27.6250170672519
"34",-16.5502017967381
"35",9.05840859225295
"36",3.03564141174417
"37",-9.02168266175754
"38",18.8317713233889
"39",-35.4764439745626
"40",-34.7960367008785
"41",-29.6746934864337
"42",22.4714159848167
"43",13.6706227540718
"44",-27.7116610523783
"45",-5.39191882362246
"46",-30.6835876738367
"47",-30.674136207837
"48",-36.2472251557685
"49",-10.1539312302381
"50",-0.115942648361635
"51",-5.85042804703499
"52",-17.9531823429801
"53",19.6725536460751
"54",-9.85174113837509
"55",-12.6606094960055
"56",2.75487983056136
"57",-4.81313420874635
"58",-9.18110350852449
"59",-6.12718760323699
"60",9.76595837460895
"61",-25.0484686384441
"62",-26.5963458536632
"63",8.3010201170775
"64",-25.9085553769857
"65",-17.5152268878256
"66",-11.7029333013275
"67",3.87997788415309
"68",9.45240666855378
"69",-37.5785802155868
"70",15.450479465827
"71",27.4453444572317
"72",-8.99713285625373
"73",-10.0217497473358
"74",-35.6579489133579
"75",22.892287151338
"76",19.4402724457381
"77",-17.36684251031
"78",-12.4812346434531
"79",-28.2783597151966
"80",-12.900869158688
"81",4.46694549199335
"82",3.03858869588984
"83",4.13694448598954
"84",-1.297775111901
"85",-17.0759596894932
"86",-31.4992394815928
"87",35.758070857315
"88",15.3901930867399
"89",-25.0785023236745
"90",-6.85722082288252
"91",-12.8315338745131
"92",-51.5517229552913
"93",4.00446168630504
"94",-49.2105403600414
"95",-13.7385907341439
"96",-31.4152446552807
"97",-14.1798034033999
"98",-11.5883464675943
"99",-29.1681454389699
"100",28.0558085115384
