"","x"
"1",0
"2",0.0204081632653061
"3",0.0408163265306122
"4",0.0612244897959184
"5",0.0816326530612245
"6",0.102040816326531
"7",0.122448979591837
"8",0.142857142857143
"9",0.163265306122449
"10",0.183673469387755
"11",0.204081632653061
"12",0.224489795918367
"13",0.244897959183673
"14",0.26530612244898
"15",0.285714285714286
"16",0.306122448979592
"17",0.326530612244898
"18",0.346938775510204
"19",0.36734693877551
"20",0.387755102040816
"21",0.408163265306122
"22",0.428571428571429
"23",0.448979591836735
"24",0.469387755102041
"25",0.489795918367347
"26",0.510204081632653
"27",0.530612244897959
"28",0.551020408163265
"29",0.571428571428571
"30",0.591836734693878
"31",0.612244897959184
"32",0.63265306122449
"33",0.653061224489796
"34",0.673469387755102
"35",0.693877551020408
"36",0.714285714285714
"37",0.73469387755102
"38",0.755102040816326
"39",0.775510204081633
"40",0.795918367346939
"41",0.816326530612245
"42",0.836734693877551
"43",0.857142857142857
"44",0.877551020408163
"45",0.897959183673469
"46",0.918367346938775
"47",0.938775510204082
"48",0.959183673469388
"49",0.979591836734694
"50",1
